day_index,date,type,text
73,2026-03-13,compliment,"Ты умеешь так мило морщить нос, когда смеешься, что я просто таю."
74,2026-03-14,memory,"Каждый раз, когда я вспоминаю твой танец, у меня по коже мурашки. Ты потрясающая."
75,2026-03-15,certificate,"🎟 Сертификат на молочный ломтик, киндер или любой другой любимый батончик."
76,2026-03-16,compliment,Твоя забота — это что-то особенное. Я чувствую ее в мелочах.
77,2026-03-17,support,Если устала — просто скинь мне кружочек и я подниму тебе настроение!
78,2026-03-18,memory,"Как же было здорово гулять по Минску, есть драники и смеяться с Софой до слез."
79,2026-03-19,compliment,"У тебя идеальный вкус во всём: от музыки до того, как ты одеваешься."
80,2026-03-20,certificate,🎟 Сертификат на кружку горячего шоколада или вкусного какао.
81,2026-03-21,compliment,"Ты невероятно привлекательна, даже когда просто пьешь чай и смотришь в окно."
82,2026-03-22,game,"Игра: если бы я был десертом, то каким? А ты?"
83,2026-03-23,memory,Я до сих пор с теплом вспоминаю те вкусные блины на Масленице.
84,2026-03-24,compliment,"В тебе столько женственности и грации, от тебя просто не оторвать взгляд."
85,2026-03-25,certificate,"🎟 Сертификат на любой шоколадный батончик, который ты захочешь прямо сейчас."
86,2026-03-26,support,С тобой так легко быть собой. Спасибо за твое понимание.
87,2026-03-27,compliment,Твой смех — моя любимая музыка.
88,2026-03-28,memory,Пересматриваю фотки с Беларуси и улыбаюсь. Какая же ты там красивая!
89,2026-03-29,compliment,"Ты умеешь находить красоту там, где другие проходят мимо."
90,2026-03-30,certificate,"🎟 Сертификат на ""просто маленькую радость из магазина"" — на твой выбор!"
91,2026-03-31,game,Как ты опишешь идеальный выходной со мной?
92,2026-04-01,compliment,От твоей энергетики просто заряжаешься на весь день.
93,2026-04-02,memory,"Иногда пересматриваю наши видео с поездок и улыбаюсь, как дурак."
94,2026-04-03,certificate,🎟 Сертификат на Ritter Sport с орехом или клубникой!
95,2026-04-04,compliment,"Мне очень нравится, как ты увлеченно рассказываешь о том, что тебе интересно."
96,2026-04-05,support,"Ты со всем справишься, а если что-то пойдет не так — я подстрахую."
97,2026-04-06,future,"Мы с тобой создадим еще столько классных моментов, что памяти в телефоне не хватит."
98,2026-04-07,compliment,Ты чертовски умная и проницательная.
99,2026-04-08,certificate,🎟 Сертификат на шоколадное яйцо (Киндер Сюрприз) для маленькой радости.
100,2026-04-09,compliment,"Твои мысли и рассуждения всегда так интересны, я могу слушать тебя часами."
101,2026-04-10,game,"Что бы ты сейчас съела: сладкое, соленое или остренькое?"
102,2026-04-11,memory,"Не могу забыть, как круто ты двигалась под ту музыку. Ты самая лучшая танцовщица!"
103,2026-04-12,compliment,Ты выглядишь сногсшибательно даже в уютной домашней одежде.
104,2026-04-13,certificate,"🎟 Сертификат на любой десерт, лишь бы там было много шоколада."
105,2026-04-14,support,Сегодня можно просто выдохнуть. Ты чудесная.
106,2026-04-15,memory,Поездка в Беларусь была просто незабываемой. Как же классно было проводить с тобой те вечера.
107,2026-04-16,compliment,"У тебя самые красивые глаза, в которых так легко утонуть."
108,2026-04-17,memory,До сих пор держу в памяти наш Питер. Как мы гуляли по набережным и ты смотрела на мосты — это было что-то особенное.
109,2026-04-18,compliment,"Твои волосы — это вообще отдельная история. Когда они развеваются на ветру, ты выглядишь как кадр из кино."
110,2026-04-19,memory,В Мариинку мы не попали — зато придумали свой вечер и получилось даже лучше. Это и есть мы.
111,2026-04-20,compliment,"У тебя такие глаза, в которых можно потеряться. Я каждый раз теряюсь."
112,2026-04-21,memory,"Знакомство с Софиными друзьями прошло на ура — и всё потому, что ты сразу всех расположила к себе. Ты умеешь это."
113,2026-04-22,compliment,Твоя улыбка — это что-то нечестное. Когда ты улыбаешься у меня в голове сразу всё становится хорошо.
114,2026-04-23,memory,Самара мне запомнилась особенно. Ты в том городе была другой — расслабленной и своей. Красивой вдвойне.
115,2026-04-24,compliment,Ты умеешь выглядеть сногсшибательно в чём угодно. Это не комплимент — это факт.
116,2026-04-25,memory,Помню как мы шли вдоль каналов в Питере и ты остановилась посмотреть на воду. Я смотрел на тебя.
117,2026-04-26,compliment,"В тебе есть такая мягкая сила. Ты не давишь, но рядом с тобой всегда надёжно."
118,2026-04-27,memory,Питерские вечера — это был особый кайф. Особенно когда ты была рядом и мы просто никуда не торопились.
119,2026-04-28,compliment,Твои волосы — как будто у природы было особенное настроение когда она тебя создавала.
120,2026-04-29,memory,Мариинка нас не пустила — но это стало нашей отдельной историей. Теперь это наш внутренний мем.
121,2026-04-30,compliment,Ты красивая. По-настоящему. От волос до взгляда — всё в тебе на месте.
122,2026-05-01,memory,"Самара была классной — и ты в ней была особенно своей. Я рад, что мы туда поехали."
123,2026-05-02,compliment,Твои глаза — это целый разговор без слов. Мне нравится их читать.
124,2026-05-03,memory,Как мы познакомились с друзьями Софы — это отдельный тёплый кусочек нашей истории. Сразу стало ясно что мы своих выбираем.
125,2026-05-04,compliment,Когда ты смеёшься по-настоящему — это лучший звук на свете. Без шуток.
126,2026-05-05,memory,"В Питере было что-то особенное в воздухе. Может белые ночи, может мы сами — но я скучаю по тому городу с тобой."
127,2026-05-06,compliment,"В тебе сочетается что-то редкое: ты умная и нежная одновременно. Это дорогого стоит."
128,2026-05-07,memory,Помню как мы гуляли по Питеру и зашли в какую-то случайную кофейню. Ты выглядела там абсолютно счастливой — и я тоже.
129,2026-05-08,compliment,Твои волосы чуть растрёпанные после прогулки — это одна из самых красивых версий тебя.
130,2026-05-09,memory,Самара навсегда останется в списке наших мест. Ты там была настоящей.
131,2026-05-10,compliment,"У тебя такие глаза, что хочется сочинять стихи. Я не буду, но ты заслуживаешь."
132,2026-05-11,memory,"Друзья Софы тебя приняли сразу — потому что ты именно такая: открытая, тёплая, своя."
133,2026-05-12,compliment,"Ты красиво двигаешься, красиво смотришь, красиво молчишь. Просто красивая во всём."
134,2026-05-13,memory,История с Мариинкой стала моей любимой. Нас не пустили — но мы не расстроились и придумали кое-что лучше.
135,2026-05-14,compliment,Если бы я мог выбрать только одно за что тебя обожать — не смог бы. Всё в тебе моё любимое.
136,2026-05-15,memory,Питер и Самара и знакомства с друзьями и Мариинка-без-Мариинки — это всё наши истории. Я очень рад что они случились.
137,2026-05-16,compliment,"Твои волосы, глаза, улыбка, характер — я мог бы перечислять бесконечно. Но проще: ты моя любимая."
138,2026-05-17,compliment,Ты создаёшь ощущение лёгкости.
139,2026-05-18,future,Иногда самое лучшее ещё впереди.
140,2026-05-19,certificate,🎟 Сертификат на обновку без повода.
141,2026-05-20,compliment,Ты очень светлая.
142,2026-05-21,support,Сегодня можно ничего не доказывать.
143,2026-05-22,compliment,Ты красивая в настоящем моменте.
144,2026-05-23,game,Игра: если бы день был городом — каким?
145,2026-05-24,compliment,Ты создаёшь ощущение уверенности.
146,2026-05-25,memory,"Иногда я думаю, как спокойно у нас всё сложилось."
147,2026-05-26,certificate,🎟 Сертификат на чай — северное ассорти.
148,2026-05-27,compliment,Ты умеешь быть мягкой и сильной.
149,2026-05-28,support,Если сегодня не всё успелось — это нормально.
150,2026-05-29,compliment,Ты красивая в деталях.
151,2026-05-30,game,Вопрос дня: что сегодня принесло тепло?
152,2026-05-31,compliment,Ты создаёшь ощущение дома.
153,2026-06-01,future,Мы идём вперёд в своём ритме.
154,2026-06-02,certificate,🎟 Сертификат на цветы — ароматные и светлые.
155,2026-06-03,compliment,Ты очень живая и настоящая.
156,2026-06-04,support,Сегодня можно снизить темп.
157,2026-06-05,compliment,Ты красивая в своей простоте.
158,2026-06-06,game,Игра: выбери — 🌙 вечер или 🌅 утро?
159,2026-06-07,compliment,Ты создаёшь ощущение тепла.
160,2026-06-08,memory,"Иногда я думаю, как хорошо, что мы рядом."
161,2026-06-09,certificate,🎟 Сертификат на бокал просекко — за лёгкий момент.
162,2026-06-10,compliment,Ты умеешь быть внимательной к себе.
163,2026-06-11,support,Если сегодня захочется паузы — возьми её.
164,2026-06-12,compliment,Ты красивая в своём выборе.
165,2026-06-13,game,Вопрос дня: что сегодня дало ощущение радости?
166,2026-06-14,compliment,Ты создаёшь баланс.
167,2026-06-15,future,"Иногда я думаю, как всё складывается вовремя."
168,2026-06-16,certificate,🎟 Сертификат на танцевальный мастер-класс.
169,2026-06-17,compliment,Ты очень гармоничная.
170,2026-06-18,support,Сегодня можно просто быть.
171,2026-06-19,compliment,Ты красивая в своём спокойствии и ясности.
172,2026-06-20,support,Сегодня можно позволить себе не торопиться.
173,2026-06-21,compliment,Ты умеешь создавать ощущение лета внутри.
174,2026-06-22,game,Игра: если бы день был напитком — каким?
175,2026-06-23,compliment,Ты создаёшь ощущение лёгкости.
176,2026-06-24,memory,"Иногда я думаю, как много у нас тёплых воспоминаний."
177,2026-06-25,certificate,🎟 Сертификат на йогурт или пуддинг — по настроению.
178,2026-06-26,compliment,Ты очень живая и настоящая.
179,2026-06-27,support,Если сегодня будет усталость — это нормально.
180,2026-06-28,compliment,Ты красивая в своей естественности.
181,2026-06-29,game,Вопрос дня: что сегодня принесло удовольствие?
182,2026-06-30,compliment,Ты создаёшь ощущение уюта.
183,2026-07-01,future,Лето — хорошее время для новых ощущений.
184,2026-07-02,certificate,🎟 Сертификат на мороженое — шоколадное или Maxiduo.
185,2026-07-03,compliment,Ты умеешь наслаждаться моментами.
186,2026-07-04,support,Сегодня можно снизить ожидания от себя.
187,2026-07-05,compliment,Ты красивая в своём ритме.
188,2026-07-06,game,Игра: если бы день был звуком — каким?
189,2026-07-07,compliment,Ты создаёшь ощущение тепла.
190,2026-07-08,memory,"Иногда я вспоминаю, как много у нас вечерних разговоров."
191,2026-07-09,certificate,🎟 Сертификат на фрукты: манго или авокадо хаос.
192,2026-07-10,compliment,Ты очень гармоничная.
193,2026-07-11,support,Если сегодня не всё получилось — это не важно.
194,2026-07-12,compliment,Ты красивая в искренности.
195,2026-07-13,game,Вопрос дня: что сегодня дало ощущение свободы?
196,2026-07-14,compliment,Ты создаёшь баланс.
197,2026-07-15,future,Впереди ещё много тёплых дней.
198,2026-07-16,certificate,🎟 Сертификат на ароматическую свечу для уютного вечера.
199,2026-07-17,compliment,Ты умеешь быть внимательной к себе.
200,2026-07-18,support,Сегодня можно позволить себе отдых.
201,2026-07-19,compliment,Ты красивая в своей мягкости.
202,2026-07-20,game,Игра: если бы день был цветом — каким?
203,2026-07-21,compliment,Ты создаёшь ощущение спокойствия.
204,2026-07-22,memory,"Иногда я думаю, как хорошо, что мы на связи."
205,2026-07-23,certificate,🎟 Сертификат на пиццу — выбираем начинку вместе.
206,2026-07-24,compliment,Ты очень настоящая.
207,2026-07-25,support,Если сегодня захочется паузы — возьми её.
208,2026-07-26,compliment,Ты красивая в деталях.
209,2026-07-27,game,Вопрос дня: что сегодня было самым тёплым?
210,2026-07-28,compliment,Ты создаёшь ощущение уверенности.
211,2026-07-29,future,Мы движемся дальше спокойно и уверенно.
212,2026-07-30,certificate,🎟 Сертификат на ништяк с WB — выбираем вместе.
213,2026-07-31,compliment,Ты умеешь радоваться мелочам.
214,2026-08-01,support,Сегодня можно не быть продуктивной.
215,2026-08-02,compliment,Ты красивая в настоящем моменте.
216,2026-08-03,game,Игра: если бы день был фильмом — каким?
217,2026-08-04,compliment,Ты создаёшь ощущение дома.
218,2026-08-05,memory,"Иногда я думаю, как много у нас уже общего."
219,2026-08-06,certificate,🎟 Сертификат на масочку для лица.
220,2026-08-07,compliment,Ты очень светлая.
221,2026-08-08,support,Если сегодня будет тревожно — это пройдёт.
222,2026-08-09,compliment,Ты красивая в своём выборе.
223,2026-08-10,game,Вопрос дня: что сегодня помогло выдохнуть?
224,2026-08-11,compliment,Ты создаёшь ощущение тепла.
225,2026-08-12,future,Иногда будущее ощущается очень близким.
226,2026-08-13,certificate,🎟 Сертификат на вещь из твоего вишлиста.
227,2026-08-14,compliment,Ты умеешь быть мягкой и сильной.
228,2026-08-15,support,Сегодня можно быть снисходительнее к себе.
229,2026-08-16,compliment,Ты красивая в своём темпе.
230,2026-08-17,game,Игра: если бы день был городом — каким?
231,2026-08-18,compliment,Ты создаёшь ощущение устойчивости.
232,2026-08-19,memory,"Иногда я думаю, как хорошо, что мы не спешили."
233,2026-08-20,certificate,🎟 Сертификат на чай — северное ассорти.
234,2026-08-21,compliment,Ты очень гармоничная.
235,2026-08-22,support,Если сегодня не всё успелось — это ок.
236,2026-08-23,compliment,Ты красивая в своей искренности.
237,2026-08-24,game,Вопрос дня: какой момент хочется сохранить?
238,2026-08-25,compliment,Ты создаёшь ощущение спокойного фона.
239,2026-08-26,future,Осень принесёт новые смыслы.
240,2026-08-27,certificate,🎟 Сертификат на обновку без повода.
241,2026-08-28,compliment,Ты умеешь быть внимательной к миру.
242,2026-08-29,support,Сегодня можно просто быть.
243,2026-08-30,compliment,Ты красивая без объяснений.
244,2026-08-31,game,Игра: если бы день был настроением — каким?
245,2026-09-01,compliment,Ты создаёшь ощущение уверенности.
246,2026-09-02,memory,"Иногда я думаю, как спокойно мы пришли к этому моменту."
247,2026-09-03,certificate,🎟 Сертификат на цветы — светлые и ароматные.
248,2026-09-04,compliment,Ты очень живая.
249,2026-09-05,support,Если сегодня будет усталость — отдохни.
250,2026-09-06,compliment,Ты красивая в движении.
251,2026-09-07,game,Вопрос дня: что сегодня принесло радость?
252,2026-09-08,compliment,Ты создаёшь ощущение тепла.
253,2026-09-09,future,Осень — хорошее время для глубины.
254,2026-09-10,certificate,🎟 Сертификат на бокал просекко — за приятный вечер.
255,2026-09-11,compliment,Ты умеешь быть внимательной к себе.
256,2026-09-12,support,Сегодня можно снизить темп.
257,2026-09-13,compliment,Ты красивая в своём выборе.
258,2026-09-14,game,Игра: если бы день был запахом — каким?
259,2026-09-15,compliment,Ты создаёшь ощущение дома.
260,2026-09-16,memory,"Иногда я думаю, как много у нас ещё впереди."
261,2026-09-17,certificate,🎟 Сертификат на танцевальный мастер-класс.
262,2026-09-18,compliment,Ты очень гармоничная.
263,2026-09-19,support,Если сегодня будет непросто — это не навсегда.
264,2026-09-20,compliment,Ты красивая в спокойствии.
265,2026-09-21,game,Вопрос дня: что сегодня дало ощущение опоры?
266,2026-09-22,compliment,Ты создаёшь баланс.
267,2026-09-23,future,Впереди ещё много важных разговоров и моментов.
268,2026-09-24,certificate,🎟 Сертификат на суши — Филадельфия или горячие Цезарь.
269,2026-09-25,compliment,Ты умеешь быть тёплой без слов.
270,2026-09-26,support,Сегодня можно поблагодарить себя за прожитый день.
271,2026-09-27,compliment,Ты красивая в своём спокойствии.
272,2026-09-28,support,Сегодня можно быть мягче к себе.
273,2026-09-29,compliment,Ты создаёшь ощущение устойчивости.
274,2026-09-30,game,Игра: если бы день был состоянием — каким?
275,2026-10-01,special,"Сегодня особенный день. День, когда в мире появилась ты. И это правда многое изменило. С днём рождения 🤍"
276,2026-10-02,compliment,Ты умеешь наполнять дни смыслом.
277,2026-10-03,certificate,"🎟 Сертификат на ништяк с WB — выбираем вместе, без спешки."
278,2026-10-04,compliment,Ты красивая в своей радости.
279,2026-10-05,support,Сегодня можно не торопиться с выводами.
280,2026-10-06,compliment,Ты создаёшь ощущение тепла.
281,2026-10-07,game,Вопрос дня: что сегодня хочется сохранить?
282,2026-10-08,compliment,Ты очень гармоничная.
283,2026-10-09,future,Осень приносит глубину и ясность.
284,2026-10-10,certificate,🎟 Сертификат на ароматическую свечу — для уютного вечера.
285,2026-10-11,compliment,Ты красивая в своих размышлениях.
286,2026-10-12,support,Если сегодня будет усталость — это нормально.
287,2026-10-13,compliment,Ты создаёшь ощущение дома.
288,2026-10-14,game,Игра: если бы день был книгой — каким жанром?
289,2026-10-15,compliment,Ты умеешь быть внимательной к себе.
290,2026-10-16,memory,"Иногда я думаю, как спокойно и правильно всё у нас началось."
291,2026-10-17,certificate,🎟 Сертификат на вещь из твоего вишлиста.
292,2026-10-18,compliment,Ты красивая в своём темпе.
293,2026-10-19,support,Сегодня можно просто быть.
294,2026-10-20,compliment,Ты создаёшь ощущение уверенности.
295,2026-10-21,game,Вопрос дня: что сегодня дало ощущение опоры?
296,2026-10-22,compliment,Ты очень настоящая.
297,2026-10-23,future,Иногда лучшее впереди ощущается особенно ясно.
298,2026-10-24,certificate,🎟 Сертификат на цветы — светлые и ароматные.
299,2026-10-25,special,"Сегодня день, с которого всё началось. Тогда это выглядело как обычная встреча. А оказалось — началом целой истории."
300,2026-10-26,compliment,Ты умеешь беречь важные моменты.
301,2026-10-27,support,Если сегодня будет тревожно — это пройдёт.
302,2026-10-28,compliment,Ты красивая в искренности.
303,2026-10-29,game,Игра: если бы день был цветом — каким?
304,2026-10-30,compliment,Ты создаёшь ощущение спокойного фона.
305,2026-10-31,memory,"Иногда я думаю, как много у нас уже общего."
306,2026-11-01,certificate,🎟 Сертификат на мороженое — любое шоколадное.
307,2026-11-02,compliment,Ты очень светлая.
308,2026-11-03,support,Сегодня можно снизить темп.
309,2026-11-04,compliment,Ты красивая в настоящем моменте.
310,2026-11-05,game,Вопрос дня: что сегодня принесло тепло?
311,2026-11-06,compliment,Ты создаёшь ощущение близости.
312,2026-11-07,memory,"Иногда я думаю, как многое у нас стало на свои места."
313,2026-11-08,special,"Сегодня день, который невозможно не помнить. Тот самый момент, после которого многое стало яснее."
314,2026-11-09,certificate,🎟 Сертификат на суши — Филадельфия или горячие Цезарь.
315,2026-11-10,compliment,Ты умеешь быть мягкой и сильной.
316,2026-11-11,support,Если сегодня будет сложно — это не навсегда.
317,2026-11-12,compliment,Ты красивая в своём выборе.
318,2026-11-13,game,Игра: если бы день был ощущением — каким?
319,2026-11-14,compliment,Ты создаёшь ощущение надёжности.
320,2026-11-15,future,Будущее выглядит живым и настоящим.
321,2026-11-16,certificate,🎟 Сертификат на чай — северное ассорти.
322,2026-11-17,compliment,Ты очень гармоничная.
323,2026-11-18,support,Сегодня можно позволить себе паузу.
324,2026-11-19,compliment,Ты красивая в спокойствии.
325,2026-11-20,game,Вопрос дня: что сегодня помогло выдохнуть?
326,2026-11-21,compliment,Ты создаёшь ощущение света.
327,2026-11-22,memory,"Иногда я думаю, как важно, что мы рядом."
328,2026-11-23,certificate,🎟 Сертификат на обновку без повода.
329,2026-11-24,compliment,Ты умеешь быть внимательной к миру.
330,2026-11-25,support,Сегодня можно быть снисходительнее к себе.
331,2026-11-26,compliment,Ты красивая без объяснений.
332,2026-11-27,game,Игра: если бы день был мелодией — какой?
333,2026-11-28,compliment,Ты создаёшь ощущение устойчивости.
334,2026-11-29,future,Иногда путь важнее скорости.
335,2026-11-30,certificate,🎟 Сертификат на бокал просекко — за тихий вечер.
336,2026-12-01,compliment,Ты очень настоящая.
337,2026-12-02,support,Сегодня можно не всё успеть.
338,2026-12-03,compliment,Ты красивая в своём ритме.
339,2026-12-04,game,Вопрос дня: что сегодня было самым тёплым?
340,2026-12-05,compliment,Ты создаёшь ощущение дома.
341,2026-12-06,special,Казань навсегда осталась тёплой точкой на карте. Там многое стало на свои места.
342,2026-12-07,certificate,🎟 Сертификат на танцевальный мастер-класс.
343,2026-12-08,compliment,Ты умеешь беречь воспоминания.
344,2026-12-09,support,Сегодня можно отпустить лишнее.
345,2026-12-10,compliment,Ты красивая в своей глубине.
346,2026-12-11,game,Игра: если бы день был словом — каким?
347,2026-12-12,compliment,Ты создаёшь ощущение ясности.
348,2026-12-13,memory,"Иногда я думаю, как много мы прошли."
349,2026-12-14,certificate,🎟 Сертификат на масочку для лица.
350,2026-12-15,compliment,Ты очень светлая внутри.
351,2026-12-16,support,Сегодня можно гордиться собой.
352,2026-12-17,compliment,Ты красивая в выборе быть собой.
353,2026-12-18,game,Вопрос дня: что из этого года хочется взять дальше?
354,2026-12-19,compliment,Ты создаёшь ощущение завершённости.
355,2026-12-20,future,Впереди новый виток и новые смыслы.
356,2026-12-21,certificate,🎟 Сертификат на вещь из вишлиста — на следующий этап.
357,2026-12-22,special,"Сегодня день, когда «мы» стало официальным. Спокойно, честно и по-настоящему."
358,2026-12-23,compliment,Ты умеешь делать важные шаги без шума.
359,2026-12-24,support,Сегодня можно просто поблагодарить себя.
360,2026-12-25,compliment,Ты красивая в своём взрослении.
361,2026-12-26,game,"Игра: представь один момент будущего, который хочется прожить."
362,2026-12-27,compliment,"Ты создаёшь ощущение, что всё было не зря."
363,2026-12-28,memory,Иногда конец года — это тёплый взгляд назад.
364,2026-12-29,support,Сегодня можно выдохнуть. Ты многое сделала.
365,2026-12-30,compliment,"Этот год был разным. Но в нём была ты — а значит, он точно был важным."
